eName	eChr	eStart	eEnd	Sample	Source	Repeat_Class
chr8-140893338-140894475	chr8	140893338	140894475	MMC-seq	CircleSeeker	Other
chr5-180220495-180221394	chr5	180220495	180221394	MMC-seq	CircleSeeker	Other
chr3-131172088-131173209	chr3	131172088	131173209	MMC-seq	CircleSeeker	Other
chr3-133813395-133815680	chr3	133813395	133815680	MMC-seq	CircleSeeker	Other
chr1-85718668-85719508	chr1	85718668	85719508	MMC-seq	CircleSeeker	Other
chr3-142031733-142032732	chr3	142031733	142032732	MMC-seq	CircleSeeker	Other
chr2-61198004-61198988	chr2	61198004	61198988	MMC-seq	CircleSeeker	Other
chr6-12221152-12223917	chr6	12221152	12223917	MMC-seq	CircleSeeker	Other
chr20-51965285-51966039	chr20	51965285	51966039	MMC-seq	CircleSeeker	Other
chr5-180624125-180625237	chr5	180624125	180625237	MMC-seq	CircleSeeker	Other
chr3-110370124-110371163	chr3	110370124	110371163	MMC-seq	CircleSeeker	Other
chr11-48092821-48093926	chr11	48092821	48093926	MMC-seq	CircleSeeker	Other
chr14-87954864-87957002	chr14	87954864	87957002	MMC-seq	CircleSeeker	Other
chr13-67882969-67884843	chr13	67882969	67884843	MMC-seq	CircleSeeker	Other
chr17-76887521-76888965	chr17	76887521	76888965	MMC-seq	CircleSeeker	Other
chr8-55824225-55826281	chr8	55824225	55826281	MMC-seq	CircleSeeker	Other
chr21-42557099-42559613	chr21	42557099	42559613	MMC-seq	CircleSeeker	Other
chr2-70018976-70019836	chr2	70018976	70019836	MMC-seq	CircleSeeker	Other
chr9-14425689-14427344	chr9	14425689	14427344	MMC-seq	CircleSeeker	Other
chr2-209741336-209742310	chr2	209741336	209742310	MMC-seq	CircleSeeker	Other
chr15-28822371-28823127	chr15	28822371	28823127	MMC-seq	CircleSeeker	Other
chr18-44726907-44727872	chr18	44726907	44727872	MMC-seq	CircleSeeker	Other
chr2-27344973-27348028	chr2	27344973	27348028	MMC-seq	CircleSeeker	Other
chr4-148487914-148489448	chr4	148487914	148489448	MMC-seq	CircleSeeker	Other
chr21-36623652-36627708	chr21	36623652	36627708	MMC-seq	CircleSeeker	Other
chr4-129906396-129908764	chr4	129906396	129908764	MMC-seq	CircleSeeker	Other
chr7-139454043-139455035	chr7	139454043	139455035	MMC-seq	CircleSeeker	Other
chr21-41150373-41150988	chr21	41150373	41150988	MMC-seq	CircleSeeker	Other
chr10-94976450-94978095	chr10	94976450	94978095	MMC-seq	CircleSeeker	Other
chr17-73458433-73460400	chr17	73458433	73460400	MMC-seq	CircleSeeker	Other
chr5-147538609-147540044	chr5	147538609	147540044	MMC-seq	CircleSeeker	Other
chr6-141071928-141074321	chr6	141071928	141074321	MMC-seq	CircleSeeker	Other
chr11-34642437-34645583	chr11	34642437	34645583	MMC-seq	CircleSeeker	Other
chr19-5280859-5281300	chr19	5280859	5281300	MMC-seq	CircleSeeker	Other
chr1-52138072-52139267	chr1	52138072	52139267	MMC-seq	CircleSeeker	Other
chr2-25077525-25078261	chr2	25077525	25078261	MMC-seq	CircleSeeker	Other
chr2-216535193-216536584	chr2	216535193	216536584	MMC-seq	CircleSeeker	Other
chr18-21796897-21798140	chr18	21796897	21798140	MMC-seq	CircleSeeker	Other
chr12-41023193-41024403	chr12	41023193	41024403	MMC-seq	CircleSeeker	Other
chr16-71411963-71413158	chr16	71411963	71413158	MMC-seq	CircleSeeker	Other
chr3-181075151-181076048	chr3	181075151	181076048	MMC-seq	CircleSeeker	Other
chr6-26179835-26181287	chr6	26179835	26181287	MMC-seq	CircleSeeker	Other
chr1-77409545-77411013	chr1	77409545	77411013	MMC-seq	CircleSeeker	Other
chr20-55351867-55352223	chr20	55351867	55352223	MMC-seq	CircleSeeker	Other
chr3-4932724-4933060	chr3	4932724	4933060	MMC-seq	CircleSeeker	Other
chr2-95102697-95104474	chr2	95102697	95104474	MMC-seq	CircleSeeker	Other
chr12-106190205-106191165	chr12	106190205	106191165	MMC-seq	CircleSeeker	Other
chr4-136277898-136279081	chr4	136277898	136279081	MMC-seq	CircleSeeker	Other
chr12-8518322-8520030	chr12	8518322	8520030	MMC-seq	CircleSeeker	Other
chr5-1305371-1306489	chr5	1305371	1306489	MMC-seq	CircleSeeker	Other
chr3-55596473-55597613	chr3	55596473	55597613	MMC-seq	CircleSeeker	Other
chr12-50001683-50002453	chr12	50001683	50002453	MMC-seq	CircleSeeker	Other
chr2-32301780-32302373	chr2	32301780	32302373	MMC-seq	CircleSeeker	Other
chr7-127047460-127049103	chr7	127047460	127049103	MMC-seq	CircleSeeker	Other
chr16-91265145-91266132	chr16	91265145	91266132	MMC-seq	CircleSeeker	Other
chr6-144071888-144073577	chr6	144071888	144073577	MMC-seq	CircleSeeker	Direct-Repeat
chr9-115976493-115978174	chr9	115976493	115978174	MMC-seq	CircleSeeker	Direct-Repeat
chr8-129026309-129027068	chr8	129026309	129027068	MMC-seq	CircleSeeker	Direct-Repeat
chr5-898134-899133	chr5	898134	899133	MMC-seq	CircleSeeker	Direct-Repeat
chr9-148822911-148824807	chr9	148822911	148824807	MMC-seq	CircleSeeker	Direct-Repeat
chr10-14836460-14838168	chr10	14836460	14838168	MMC-seq	CircleSeeker	Direct-Repeat
chr6-135811219-135812274	chr6	135811219	135812274	MMC-seq	CircleSeeker	Direct-Repeat
chr10-31728730-31729064	chr10	31728730	31729064	MMC-seq	CircleSeeker	Direct-Repeat
chr3-141209625-141210845	chr3	141209625	141210845	MMC-seq	CircleSeeker	Direct-Repeat
chr2-121832123-121833113	chr2	121832123	121833113	MMC-seq	CircleSeeker	Direct-Repeat
chr17-63379887-63380523	chr17	63379887	63380523	MMC-seq	CircleSeeker	Direct-Repeat
chr22-4802129-4803185	chr22	4802129	4803185	MMC-seq	CircleSeeker	Direct-Repeat
chr15-72750918-72752256	chr15	72750918	72752256	MMC-seq	CircleSeeker	Direct-Repeat
chr9-141546769-141548396	chr9	141546769	141548396	MMC-seq	CircleSeeker	Direct-Repeat
chr16-75470373-75471544	chr16	75470373	75471544	MMC-seq	CircleSeeker	Direct-Repeat
chr3-13440304-13441519	chr3	13440304	13441519	MMC-seq	CircleSeeker	Direct-Repeat
chr16-96013264-96015206	chr16	96013264	96015206	MMC-seq	CircleSeeker	Direct-Repeat
chr11-75342273-75343404	chr11	75342273	75343404	MMC-seq	CircleSeeker	Direct-Repeat
chr3-87145081-87147561	chr3	87145081	87147561	MMC-seq	CircleSeeker	Direct-Repeat
chr15-82847081-82847759	chr15	82847081	82847759	MMC-seq	CircleSeeker	Direct-Repeat
chr6-72074949-72075445	chr6	72074949	72075445	MMC-seq	CircleSeeker	Direct-Repeat
chr5-67064613-67068571	chr5	67064613	67068571	MMC-seq	CircleSeeker	Direct-Repeat
chr8-70030199-70031482	chr8	70030199	70031482	MMC-seq	CircleSeeker	Direct-Repeat
chr8-21401335-21402711	chr8	21401335	21402711	MMC-seq	CircleSeeker	Direct-Repeat
chr14-59258680-59259671	chr14	59258680	59259671	MMC-seq	CircleSeeker	Direct-Repeat
chr5-164120433-164125410	chr5	164120433	164125410	MMC-seq	CircleSeeker	Direct-Repeat
chr1-185224042-185224512	chr1	185224042	185224512	MMC-seq	CircleSeeker	Direct-Repeat
chr1-84589418-84589767	chr1	84589418	84589767	MMC-seq	CircleSeeker	Direct-Repeat
chr7-25255231-25255844	chr7	25255231	25255844	MMC-seq	CircleSeeker	Direct-Repeat
chr20-53557089-53558031	chr20	53557089	53558031	MMC-seq	CircleSeeker	Direct-Repeat
chr2-109964186-109965216	chr2	109964186	109965216	MMC-seq	CircleSeeker	Direct-Repeat
chr2-75566093-75566495	chr2	75566093	75566495	MMC-seq	CircleSeeker	Direct-Repeat
chr10-91434308-91434676	chr10	91434308	91434676	MMC-seq	CircleSeeker	Direct-Repeat
chr10-70364785-70365610	chr10	70364785	70365610	MMC-seq	CircleSeeker	Direct-Repeat
chr6-89694797-89696150	chr6	89694797	89696150	MMC-seq	CircleSeeker	Direct-Repeat
chr5-5844428-5845548	chr5	5844428	5845548	MMC-seq	CircleSeeker	Direct-Repeat
chr12-56493466-56493848	chr12	56493466	56493848	MMC-seq	CircleSeeker	Direct-Repeat
chr11-120773157-120774476	chr11	120773157	120774476	MMC-seq	CircleSeeker	Direct-Repeat
chr17-79550301-79551435	chr17	79550301	79551435	MMC-seq	CircleSeeker	Direct-Repeat
chr9-132959405-132960545	chr9	132959405	132960545	MMC-seq	CircleSeeker	Direct-Repeat
chr22-20314661-20317321	chr22	20314661	20317321	MMC-seq	CircleSeeker	Direct-Repeat
chr15-74263373-74264561	chr15	74263373	74264561	MMC-seq	CircleSeeker	Direct-Repeat
chr16-8932136-8932942	chr16	8932136	8932942	MMC-seq	CircleSeeker	Direct-Repeat
chr17-50051024-50052767	chr17	50051024	50052767	MMC-seq	CircleSeeker	Direct-Repeat
chr1-228425233-228426586	chr1	228425233	228426586	MMC-seq	CircleSeeker	Direct-Repeat
chr13-22440382-22441133	chr13	22440382	22441133	MMC-seq	CircleSeeker	Direct-Repeat
chr3-200393257-200394171	chr3	200393257	200394171	MMC-seq	CircleSeeker	Direct-Repeat
chr20-2770522-2771688	chr20	2770522	2771688	MMC-seq	CircleSeeker	Direct-Repeat
chr6-38364705-38366023	chr6	38364705	38366023	MMC-seq	CircleSeeker	Direct-Repeat
chr12-32982204-32984672	chr12	32982204	32984672	MMC-seq	CircleSeeker	Direct-Repeat
chr2-187702874-187705508	chr2	187702874	187705508	MMC-seq	CircleSeeker	Direct-Repeat
chr11-48315379-48315712	chr11	48315379	48315712	MMC-seq	CircleSeeker	Direct-Repeat
chr13-54214064-54215953	chr13	54214064	54215953	MMC-seq	CircleSeeker	Direct-Repeat
chr4-44828126-44829374	chr4	44828126	44829374	MMC-seq	CircleSeeker	Direct-Repeat
chr10-28471477-28472183	chr10	28471477	28472183	MMC-seq	CircleSeeker	Direct-Repeat
chr11-3676085-3677455	chr11	3676085	3677455	MMC-seq	CircleSeeker	Direct-Repeat
chr5-97548201-97549306	chr5	97548201	97549306	MMC-seq	CircleSeeker	Direct-Repeat
chr8-105284488-105285976	chr8	105284488	105285976	MMC-seq	CircleSeeker	Direct-Repeat
chr1-195047226-195047981	chr1	195047226	195047981	MMC-seq	CircleSeeker	Direct-Repeat
chr10-79625567-79626617	chr10	79625567	79626617	MMC-seq	CircleSeeker	Direct-Repeat
chr17-81047724-81048689	chr17	81047724	81048689	MMC-seq	CircleSeeker	Direct-Repeat
chr5-41883355-41885481	chr5	41883355	41885481	MMC-seq	CircleSeeker	Direct-Repeat
chr5-37251970-37252768	chr5	37251970	37252768	MMC-seq	CircleSeeker	Direct-Repeat
chr4-189508194-189512078	chr4	189508194	189512078	MMC-seq	CircleSeeker	Direct-Repeat
chr1-11867592-11868374	chr1	11867592	11868374	MMC-seq	CircleSeeker	Direct-Repeat
chr9-31689921-31692288	chr9	31689921	31692288	MMC-seq	CircleSeeker	Direct-Repeat
chr5-95102540-95103830	chr5	95102540	95103830	MMC-seq	CircleSeeker	Direct-Repeat
chr2-11984816-11986712	chr2	11984816	11986712	MMC-seq	CircleSeeker	Direct-Repeat
chr7-106080405-106082114	chr7	106080405	106082114	MMC-seq	CircleSeeker	Direct-Repeat
chr6-10670193-10672069	chr6	10670193	10672069	MMC-seq	CircleSeeker	Direct-Repeat
chr12-755253-755992	chr12	755253	755992	MMC-seq	CircleSeeker	Direct-Repeat
chr22-35602595-35603355	chr22	35602595	35603355	MMC-seq	CircleSeeker	Direct-Repeat
chr10-133931279-133932038	chr10	133931279	133932038	MMC-seq	CircleSeeker	Direct-Repeat
chr10-16407541-16408291	chr10	16407541	16408291	MMC-seq	CircleSeeker	Direct-Repeat
chr7-100828683-100830249	chr7	100828683	100830249	MMC-seq	CircleSeeker	Direct-Repeat
chr12-52268831-52270819	chr12	52268831	52270819	MMC-seq	CircleSeeker	Direct-Repeat
chr4-88023283-88023856	chr4	88023283	88023856	MMC-seq	CircleSeeker	Direct-Repeat
chr17-36431232-36432242	chr17	36431232	36432242	MMC-seq	CircleSeeker	Direct-Repeat
chr12-121679625-121683780	chr12	121679625	121683780	MMC-seq	CircleSeeker	Direct-Repeat
chr10-102491823-102492404	chr10	102491823	102492404	MMC-seq	CircleSeeker	Direct-Repeat
chr17-36483441-36485879	chr17	36483441	36485879	MMC-seq	CircleSeeker	Direct-Repeat
chr7-118683291-118684616	chr7	118683291	118684616	MMC-seq	CircleSeeker	Direct-Repeat
chr6-40875230-40877817	chr6	40875230	40877817	MMC-seq	CircleSeeker	Direct-Repeat
chr8-103940403-103940876	chr8	103940403	103940876	MMC-seq	CircleSeeker	Direct-Repeat
chr11-128874876-128875663	chr11	128874876	128875663	MMC-seq	CircleSeeker	Direct-Repeat
chr5-142702644-142705214	chr5	142702644	142705214	MMC-seq	CircleSeeker	Direct-Repeat
chr15-98020001-98021926	chr15	98020001	98021926	MMC-seq	CircleSeeker	Direct-Repeat
chr11-62038614-62039489	chr11	62038614	62039489	MMC-seq	CircleSeeker	Direct-Repeat
chr9-139146534-139147250	chr9	139146534	139147250	MMC-seq	CircleSeeker	Direct-Repeat
chr8-129016186-129017765	chr8	129016186	129017765	MMC-seq	CircleSeeker	Direct-Repeat
chr3-164289369-164289713	chr3	164289369	164289713	MMC-seq	CircleSeeker	Direct-Repeat
chr8-67412722-67414073	chr8	67412722	67414073	MMC-seq	CircleSeeker	Direct-Repeat
chr5-81675654-81676463	chr5	81675654	81676463	MMC-seq	CircleSeeker	Direct-Repeat
chr6-12343052-12343655	chr6	12343052	12343655	MMC-seq	CircleSeeker	Direct-Repeat
chr1-31431679-31433645	chr1	31431679	31433645	MMC-seq	CircleSeeker	Direct-Repeat
chr17-83784462-83785862	chr17	83784462	83785862	MMC-seq	CircleSeeker	Direct-Repeat
chr21-12067955-12068780	chr21	12067955	12068780	MMC-seq	CircleSeeker	Direct-Repeat
chr20-38451265-38454041	chr20	38451265	38454041	MMC-seq	CircleSeeker	Direct-Repeat
chr15-52668743-52669338	chr15	52668743	52669338	MMC-seq	CircleSeeker	Direct-Repeat
chr1-42835164-42835604	chr1	42835164	42835604	MMC-seq	CircleSeeker	Direct-Repeat
chr14-51373631-51374530	chr14	51373631	51374530	MMC-seq	CircleSeeker	Direct-Repeat
chr1-113096836-113097605	chr1	113096836	113097605	MMC-seq	CircleSeeker	Direct-Repeat
chr11-47955904-47956900	chr11	47955904	47956900	MMC-seq	CircleSeeker	Direct-Repeat
chr8-103248002-103249430	chr8	103248002	103249430	MMC-seq	CircleSeeker	Direct-Repeat
chr21-27921002-27923336	chr21	27921002	27923336	MMC-seq	CircleSeeker	Direct-Repeat
chr19-8422441-8423372	chr19	8422441	8423372	MMC-seq	CircleSeeker	Direct-Repeat
chr8-43143247-43144845	chr8	43143247	43144845	MMC-seq	CircleSeeker	Direct-Repeat
chr8-127311444-127312498	chr8	127311444	127312498	MMC-seq	CircleSeeker	Direct-Repeat
chr10-109937548-109938665	chr10	109937548	109938665	MMC-seq	CircleSeeker	Direct-Repeat
chr12-6096666-6097846	chr12	6096666	6097846	MMC-seq	CircleSeeker	Direct-Repeat
chr3-135674171-135675773	chr3	135674171	135675773	MMC-seq	CircleSeeker	Direct-Repeat
chr11-45004136-45005184	chr11	45004136	45005184	MMC-seq	CircleSeeker	Direct-Repeat
chr2-77444340-77445766	chr2	77444340	77445766	MMC-seq	CircleSeeker	Direct-Repeat
chr2-114991828-114992639	chr2	114991828	114992639	MMC-seq	CircleSeeker	Direct-Repeat
chr12-70360135-70361918	chr12	70360135	70361918	MMC-seq	CircleSeeker	Both
