eName	eChr	eStart	eEnd	Sample	Source	Repeat_Class
chr4-129906396-129908764	chr4	129906396	129908764	MMC-seq	CircleSeeker	Other
chrX-30836285-30838477	chrX	30836285	30838477	MMC-seq	CircleSeeker	Other
chr7-122134769-122136765	chr7	122134769	122136765	MMC-seq	CircleSeeker	Other
chr2-177764616-177765259	chr2	177764616	177765259	MMC-seq	CircleSeeker	Other
chr9-1608582-1609621	chr9	1608582	1609621	MMC-seq	CircleSeeker	Other
chr2-110346471-110349549	chr2	110346471	110349549	MMC-seq	CircleSeeker	Other
chr17-66861597-66861867	chr17	66861597	66861867	MMC-seq	CircleSeeker	Other
chr22-18249228-18249847	chr22	18249228	18249847	MMC-seq	CircleSeeker	Other
chr12-49515325-49515842	chr12	49515325	49515842	MMC-seq	CircleSeeker	Other
chrX-74931760-74933694	chrX	74931760	74933694	MMC-seq	CircleSeeker	Other
chr11-1607746-1608545	chr11	1607746	1608545	MMC-seq	CircleSeeker	Other
chr12-130995669-130999277	chr12	130995669	130999277	MMC-seq	CircleSeeker	Other
chr16-96013264-96015206	chr16	96013264	96015206	MMC-seq	CircleSeeker	Direct-Repeat
chr1-53919173-53920310	chr1	53919173	53920310	MMC-seq	CircleSeeker	Other
chrX-25473259-25475783	chrX	25473259	25475783	MMC-seq	CircleSeeker	Inverted-Repeat
chr2-84915653-84917530	chr2	84915653	84917530	MMC-seq	CircleSeeker	Other
chr5-33649339-33651366	chr5	33649339	33651366	MMC-seq	CircleSeeker	Other
chr6-14884510-14885781	chr6	14884510	14885781	MMC-seq	CircleSeeker	Other
chr11-111267766-111268198	chr11	111267766	111268198	MMC-seq	CircleSeeker	Other
chr17-28250910-28251670	chr17	28250910	28251670	MMC-seq	CircleSeeker	Other
chr2-110157160-110158461	chr2	110157160	110158461	MMC-seq	CircleSeeker	Other
chr7-31237004-31239769	chr7	31237004	31239769	MMC-seq	CircleSeeker	Other
chr3-110370124-110371163	chr3	110370124	110371163	MMC-seq	CircleSeeker	Other
chr11-75342273-75343404	chr11	75342273	75343404	MMC-seq	CircleSeeker	Direct-Repeat
chr22-21344384-21345173	chr22	21344384	21345173	MMC-seq	CircleSeeker	Inverted-Repeat
chr8-126630614-126631816	chr8	126630614	126631816	MMC-seq	CircleSeeker	Other
chr1-47790896-47791904	chr1	47790896	47791904	MMC-seq	CircleSeeker	Other
chr11-51064725-51064872	chr11	51064725	51064872	MMC-seq	CircleSeeker	Other
chr22-21807639-21808550	chr22	21807639	21808550	MMC-seq	CircleSeeker	Other
chr1-52741046-52742500	chr1	52741046	52742500	MMC-seq	CircleSeeker	Other
chr12-10103380-10104380	chr12	10103380	10104380	MMC-seq	CircleSeeker	Other
chr14-43506350-43507343	chr14	43506350	43507343	MMC-seq	CircleSeeker	Other
chr3-87145081-87147561	chr3	87145081	87147561	MMC-seq	CircleSeeker	Direct-Repeat
chr18-13397958-13399067	chr18	13397958	13399067	MMC-seq	CircleSeeker	Other
chr15-82847081-82847759	chr15	82847081	82847759	MMC-seq	CircleSeeker	Direct-Repeat
chr1-43110006-43110915	chr1	43110006	43110915	MMC-seq	CircleSeeker	Other
chr5-121998237-121998985	chr5	121998237	121998985	MMC-seq	CircleSeeker	Other
chr8-130460984-130462227	chr8	130460984	130462227	MMC-seq	CircleSeeker	Other
chr17-76875131-76876721	chr17	76875131	76876721	MMC-seq	CircleSeeker	Other
chr9-27318598-27319747	chr9	27318598	27319747	MMC-seq	CircleSeeker	Other
chr10-18398573-18401032	chr10	18398573	18401032	MMC-seq	CircleSeeker	Other
chr6-72074949-72075445	chr6	72074949	72075445	MMC-seq	CircleSeeker	Direct-Repeat
chr3-163992324-163993311	chr3	163992324	163993311	MMC-seq	CircleSeeker	Other
chr8-103844352-103846079	chr8	103844352	103846079	MMC-seq	CircleSeeker	Other
chr6-155329275-155329922	chr6	155329275	155329922	MMC-seq	CircleSeeker	Other
chr4-47981599-47983487	chr4	47981599	47983487	MMC-seq	CircleSeeker	Other
chr21-40459941-40461578	chr21	40459941	40461578	MMC-seq	CircleSeeker	Other
chr10-124947172-124947997	chr10	124947172	124947997	MMC-seq	CircleSeeker	Other
chr9-116148410-116149168	chr9	116148410	116149168	MMC-seq	CircleSeeker	Other
chr8-132487517-132489533	chr8	132487517	132489533	MMC-seq	CircleSeeker	Other
chr4-48948584-48951596	chr4	48948584	48951596	MMC-seq	CircleSeeker	Other
chr12-57895818-57898914	chr12	57895818	57898914	MMC-seq	CircleSeeker	Other
chr3-158949008-158949569	chr3	158949008	158949569	MMC-seq	CircleSeeker	Other
chr8-141327463-141327862	chr8	141327463	141327862	MMC-seq	CircleSeeker	Other
chr1-208595964-208596716	chr1	208595964	208596716	MMC-seq	CircleSeeker	Other
chr5-147538609-147540044	chr5	147538609	147540044	MMC-seq	CircleSeeker	Other
chr5-67064613-67068571	chr5	67064613	67068571	MMC-seq	CircleSeeker	Direct-Repeat
chr1-149826351-149827457	chr1	149826351	149827457	MMC-seq	CircleSeeker	Other
chr5-1305371-1306489	chr5	1305371	1306489	MMC-seq	CircleSeeker	Other
chr8-116567300-116567991	chr8	116567300	116567991	MMC-seq	CircleSeeker	Other
chr7-9157777-9158882	chr7	9157777	9158882	MMC-seq	CircleSeeker	Other
chr3-197046571-197049222	chr3	197046571	197049222	MMC-seq	CircleSeeker	Other
chr12-131587015-131587292	chr12	131587015	131587292	MMC-seq	CircleSeeker	Other
chr4-13106298-13107393	chr4	13106298	13107393	MMC-seq	CircleSeeker	Other
chr20-55351867-55352223	chr20	55351867	55352223	MMC-seq	CircleSeeker	Other
chr7-48270102-48270559	chr7	48270102	48270559	MMC-seq	CircleSeeker	Other
chrX-94486159-94486798	chrX	94486159	94486798	MMC-seq	CircleSeeker	Other
chr22-18513516-18514164	chr22	18513516	18514164	MMC-seq	CircleSeeker	Other
chr11-92540066-92541173	chr11	92540066	92541173	MMC-seq	CircleSeeker	Other
chr17-76887521-76888965	chr17	76887521	76888965	MMC-seq	CircleSeeker	Other
chr8-70030199-70031482	chr8	70030199	70031482	MMC-seq	CircleSeeker	Direct-Repeat
chr21-40532686-40533267	chr21	40532686	40533267	MMC-seq	CircleSeeker	Other
chr3-11117858-11118794	chr3	11117858	11118794	MMC-seq	CircleSeeker	Other
chr8-140498316-140499818	chr8	140498316	140499818	MMC-seq	CircleSeeker	Both
chr15-61610925-61614178	chr15	61610925	61614178	MMC-seq	CircleSeeker	Other
chr3-149817371-149819922	chr3	149817371	149819922	MMC-seq	CircleSeeker	Other
chr8-21401335-21402711	chr8	21401335	21402711	MMC-seq	CircleSeeker	Direct-Repeat
chr11-1599581-1600888	chr11	1599581	1600888	MMC-seq	CircleSeeker	Other
chr16-19841696-19843535	chr16	19841696	19843535	MMC-seq	CircleSeeker	Other
chr9-127478354-127479309	chr9	127478354	127479309	MMC-seq	CircleSeeker	Other
chr7-125167658-125168675	chr7	125167658	125168675	MMC-seq	CircleSeeker	Other
chr9-100651359-100651888	chr9	100651359	100651888	MMC-seq	CircleSeeker	Other
chr6-46565565-46571157	chr6	46565565	46571157	MMC-seq	CircleSeeker	Other
chr17-37239633-37240821	chr17	37239633	37240821	MMC-seq	CircleSeeker	Other
chr16-11832263-11834289	chr16	11832263	11834289	MMC-seq	CircleSeeker	Other
chr12-124765796-124768304	chr12	124765796	124768304	MMC-seq	CircleSeeker	Other
chr14-35498154-35500064	chr14	35498154	35500064	MMC-seq	CircleSeeker	Other
chr5-110209773-110210984	chr5	110209773	110210984	MMC-seq	CircleSeeker	Other
chr18-9608863-9610484	chr18	9608863	9610484	MMC-seq	CircleSeeker	Other
chr20-11840086-11842823	chr20	11840086	11842823	MMC-seq	CircleSeeker	Other
chr4-178636173-178636954	chr4	178636173	178636954	MMC-seq	CircleSeeker	Other
chr14-59258680-59259671	chr14	59258680	59259671	MMC-seq	CircleSeeker	Direct-Repeat
chr1-93439147-93441610	chr1	93439147	93441610	MMC-seq	CircleSeeker	Other
chr1-152581159-152582682	chr1	152581159	152582682	MMC-seq	CircleSeeker	Other
chr8-111265620-111267185	chr8	111265620	111267185	MMC-seq	CircleSeeker	Inverted-Repeat
chr2-152480915-152483505	chr2	152480915	152483505	MMC-seq	CircleSeeker	Both
chr5-164120433-164125410	chr5	164120433	164125410	MMC-seq	CircleSeeker	Direct-Repeat
chr10-684474-686064	chr10	684474	686064	MMC-seq	CircleSeeker	Other
chr1-212196841-212198323	chr1	212196841	212198323	MMC-seq	CircleSeeker	Other
chr16-13997810-13999242	chr16	13997810	13999242	MMC-seq	CircleSeeker	Other
chr17-74121212-74122891	chr17	74121212	74122891	MMC-seq	CircleSeeker	Other
chr1-88469948-88471267	chr1	88469948	88471267	MMC-seq	CircleSeeker	Other
chr19-20748508-20749935	chr19	20748508	20749935	MMC-seq	CircleSeeker	Other
chr6-11494792-11495577	chr6	11494792	11495577	MMC-seq	CircleSeeker	Other
chr10-124818935-124820009	chr10	124818935	124820009	MMC-seq	CircleSeeker	Other
chr7-4874634-4875784	chr7	4874634	4875784	MMC-seq	CircleSeeker	Other
chr1-185224042-185224512	chr1	185224042	185224512	MMC-seq	CircleSeeker	Direct-Repeat
chr2-61198004-61198988	chr2	61198004	61198988	MMC-seq	CircleSeeker	Other
chr17-31638002-31640874	chr17	31638002	31640874	MMC-seq	CircleSeeker	Other
chr1-84589418-84589767	chr1	84589418	84589767	MMC-seq	CircleSeeker	Direct-Repeat
chr7-53464229-53466319	chr7	53464229	53466319	MMC-seq	CircleSeeker	Other
chr1-215667303-215669541	chr1	215667303	215669541	MMC-seq	CircleSeeker	Other
chr12-49835003-49835997	chr12	49835003	49835997	MMC-seq	CircleSeeker	Other
chr4-148534347-148534811	chr4	148534347	148534811	MMC-seq	CircleSeeker	Other
chr1-43884306-43884667	chr1	43884306	43884667	MMC-seq	CircleSeeker	Other
chr16-64288630-64289959	chr16	64288630	64289959	MMC-seq	CircleSeeker	Other
chr11-120720335-120723644	chr11	120720335	120723644	MMC-seq	CircleSeeker	Other
chr8-102154437-102155479	chr8	102154437	102155479	MMC-seq	CircleSeeker	Other
chr1-51302951-51303494	chr1	51302951	51303494	MMC-seq	CircleSeeker	Other
chr12-67631595-67632971	chr12	67631595	67632971	MMC-seq	CircleSeeker	Other
chrX-10660756-10662869	chrX	10660756	10662869	MMC-seq	CircleSeeker	Other
chr10-111070327-111071998	chr10	111070327	111071998	MMC-seq	CircleSeeker	Other
chr7-83853642-83854420	chr7	83853642	83854420	MMC-seq	CircleSeeker	Other
chr2-111591310-111592942	chr2	111591310	111592942	MMC-seq	CircleSeeker	Inverted-Repeat
chr1-28167843-28170291	chr1	28167843	28170291	MMC-seq	CircleSeeker	Other
chr12-130431518-130432685	chr12	130431518	130432685	MMC-seq	CircleSeeker	Other
chr17-8158667-8159494	chr17	8158667	8159494	MMC-seq	CircleSeeker	Other
chr13-106462083-106462984	chr13	106462083	106462984	MMC-seq	CircleSeeker	Other
chr7-94677415-94678197	chr7	94677415	94678197	MMC-seq	CircleSeeker	Other
chr12-12201506-12202722	chr12	12201506	12202722	MMC-seq	CircleSeeker	Other
chr20-51965285-51966039	chr20	51965285	51966039	MMC-seq	CircleSeeker	Other
chr14-41744987-41747135	chr14	41744987	41747135	MMC-seq	CircleSeeker	Other
chr13-76753867-76755800	chr13	76753867	76755800	MMC-seq	CircleSeeker	Other
chr10-120845926-120846742	chr10	120845926	120846742	MMC-seq	CircleSeeker	Other
chr5-36866954-36868492	chr5	36866954	36868492	MMC-seq	CircleSeeker	Inverted-Repeat
chr8-76461731-76462578	chr8	76461731	76462578	MMC-seq	CircleSeeker	Other
chr22-28055939-28056315	chr22	28055939	28056315	MMC-seq	CircleSeeker	Other
chr1-59443717-59444465	chr1	59443717	59444465	MMC-seq	CircleSeeker	Other
chr9-135114727-135116793	chr9	135114727	135116793	MMC-seq	CircleSeeker	Other
chr6-24811015-24813462	chr6	24811015	24813462	MMC-seq	CircleSeeker	Other
chr10-93678921-93681818	chr10	93678921	93681818	MMC-seq	CircleSeeker	Other
chr7-25255231-25255844	chr7	25255231	25255844	MMC-seq	CircleSeeker	Direct-Repeat
chr4-7869804-7871784	chr4	7869804	7871784	MMC-seq	CircleSeeker	Other
chr20-48334716-48338458	chr20	48334716	48338458	MMC-seq	CircleSeeker	Other
chr4-180120967-180123309	chr4	180120967	180123309	MMC-seq	CircleSeeker	Other
chr5-4926585-4927280	chr5	4926585	4927280	MMC-seq	CircleSeeker	Inverted-Repeat
chr3-138100245-138102452	chr3	138100245	138102452	MMC-seq	CircleSeeker	Other
chr16-81276597-81278340	chr16	81276597	81278340	MMC-seq	CircleSeeker	Other
chr20-58264314-58265450	chr20	58264314	58265450	MMC-seq	CircleSeeker	Other
chr2-10585108-10586046	chr2	10585108	10586046	MMC-seq	CircleSeeker	Other
chr11-65064540-65066168	chr11	65064540	65066168	MMC-seq	CircleSeeker	Other
